Date,Close,High,Low,Open,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di
2008-05-29,16316.259765625,16666.029296875,16196.01953125,16666.029296875,20000,16768.014979572858,16829.33203052101,17379.69840275505,41.70222529923473,-3.238252233565788,-57.02572824890012,68.58522659525852,-125.61095484415864,0.08529519096704043,9.551867320049325,-102500,-20000.0,17.254873958431677,19.424647638771635,26.732122666736803
2008-05-30,16415.5703125,16540.490234375,16314.990234375,16454.029296875,18400,16734.448820804013,16813.106080794696,17360.606757403464,43.77434144444508,2.0721161452103445,-76.10119904450039,39.64794146730674,-115.74914051180713,0.18294676440434385,9.86624341290455,-84100,18400.0,17.153230069079044,18.521677038911385,25.489458125850057
2008-06-02,16063.1796875,16632.720703125,15991.2099609375,16591.4609375,17600,16670.518427156014,16783.697202626277,17334.91513225686,38.53973010189618,-5.234611342548895,-118.290051388125,8.06034289622039,-126.35039428434538,0.03340042066954228,10.235383784261053,-101700,-17600.0,17.902892089406983,16.212708082056032,28.603799421291594
2008-06-03,15962.5595703125,15985.400390625,15709.509765625,15851.7197265625,20200,16603.0937741233,16751.49572684927,17307.739774594596,37.17283356195632,-1.3668965399398658,-158.0226367732903,-25.156253037681747,-132.86638373560854,0.03863486241161915,10.711018094795287,-121900,-20200.0,19.19978774697145,15.095427908719927,32.121630727208554
2008-06-04,15514.7900390625,15992.900390625,15442.33984375,15992.900390625,23800,16499.445799355603,16702.99746458312,17272.235819435544,31.772370536595787,-5.40046302536053,-223.0708342343387,-64.73916927701313,-158.33166495732556,-0.08272899680561475,12.17401671515664,-145700,-23800.0,20.888781058618722,13.532057113965163,33.820655523354034
2008-06-05,15769.7197265625,15814.7998046875,15314.01953125,15479.650390625,28600,16429.94807813721,16666.39833760192,17242.483025517267,37.352681195917725,5.580310659321938,-251.15613256724828,-102.02256193506017,-149.1335706321881,0.0941040675503382,12.618251658526106,-117100,28600.0,22.669582447805993,12.285697954067944,33.06571610679701
2008-06-06,15572.1796875,15970.7001953125,15526.5,15914.41015625,19600,16348.255850457477,16623.487802303807,17209.407711893164,34.96615925648693,-2.386521939430793,-286.05628528813395,-138.82930660567493,-147.22697868245902,0.06549039475019885,13.539645290689483,-136700,-19600.0,23.659203607118833,14.130379737683501,30.39177595722916
2008-06-09,15066.099609375,15202.740234375,14846.1796875,15115.9697265625,24400,16226.145732259147,16562.413755522288,17166.965967288845,29.726159739472806,-5.239999517014127,-350.51086946075884,-181.16561917669173,-169.3452502840671,-0.04218961917499465,15.639673491171616,-161100,-24400.0,25.623321126762516,12.369717357589483,38.28105792813502
2008-06-10,14889.25,15088.0302734375,14645.3095703125,14979.9599609375,26400,16098.822329186847,16496.799490599846,17121.862680807877,28.13920449830441,-1.586955241168397,-411.12271057793623,-227.15703745694066,-183.96567312099558,-0.010939307110132256,17.6323475361258,-187500,-26400.0,27.685406306797034,11.434092309765669,38.81738596848318
2008-06-11,15185.3203125,15225.8095703125,15009.48046875,15018.6796875,34600,16011.822137121433,16445.368934595932,17083.51530717802,34.44854077535071,6.309336277046299,-430.3073166033246,-267.78709328621744,-162.52022331710714,0.13772972394093297,18.6410245592731,-152900,34600.0,29.070246566538717,13.154528568984444,36.55382749489635
